,Angola_wind,eSwatini_wind,South Africa_pv,Namibia_pv,Zimbabwe_pv,Malawi_pv,eSwatini_pv,Mozambique_pv,Botswana_wind,Namibia_wind,Angola_pv,Malawi_wind,Mozambique_wind,Lesotho_wind,Zambia_pv,Botswana_pv,South Africa_wind,Lesotho_pv,Zambia_wind,Zimbabwe_wind
2013-01-01 00:00:00,0.212,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.087,0.0,0.003,0.152,0.001,0.0,0.0,0.058,0.0,0.026,0.047
2013-01-01 01:00:00,0.169,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.065,0.0,0.005,0.083,0.017,0.0,0.0,0.086,0.0,0.028,0.045
2013-01-01 02:00:00,0.124,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.053,0.0,0.008,0.034,0.036,0.0,0.0,0.137,0.0,0.023,0.034
2013-01-01 03:00:00,0.092,0.025,0.004,0.0,0.002,0.002,0.014,0.015,0.107,0.041,0.0,0.009,0.011,0.032,0.0,0.0,0.163,0.012,0.019,0.023
2013-01-01 04:00:00,0.074,0.003,0.044,0.013,0.071,0.058,0.111,0.093,0.1,0.023,0.003,0.007,0.001,0.025,0.049,0.039,0.133,0.096,0.01,0.006
2013-01-01 05:00:00,0.049,0.0,0.219,0.088,0.211,0.125,0.264,0.266,0.1,0.001,0.072,0.005,0.0,0.065,0.166,0.164,0.318,0.257,0.002,0.027
2013-01-01 06:00:00,0.09,0.009,0.407,0.263,0.378,0.167,0.417,0.425,0.056,0.0,0.211,0.003,0.0,0.109,0.324,0.324,0.373,0.444,0.0,0.062
2013-01-01 07:00:00,0.159,0.027,0.556,0.436,0.51,0.222,0.526,0.544,0.038,0.004,0.376,0.001,0.0,0.173,0.436,0.451,0.317,0.586,0.0,0.074
2013-01-01 08:00:00,0.15,0.045,0.658,0.5700000000000001,0.581,0.318,0.558,0.619,0.034,0.012,0.508,0.0,0.0,0.253,0.502,0.517,0.277,0.641,0.0,0.088
2013-01-01 09:00:00,0.106,0.103,0.712,0.655,0.599,0.403,0.555,0.646,0.037,0.015,0.586,0.0,0.0,0.295,0.527,0.549,0.229,0.607,0.0,0.105
2013-01-01 10:00:00,0.092,0.219,0.72,0.6910000000000001,0.585,0.405,0.464,0.628,0.05,0.01,0.592,0.0,0.001,0.274,0.531,0.553,0.185,0.605,0.0,0.124
2013-01-01 11:00:00,0.096,0.37,0.637,0.669,0.535,0.325,0.426,0.5660000000000001,0.069,0.002,0.549,0.001,0.004,0.247,0.489,0.531,0.178,0.536,0.001,0.124
2013-01-01 12:00:00,0.104,0.532,0.404,0.609,0.428,0.272,0.367,0.46,0.095,0.0,0.462,0.001,0.013,0.207,0.415,0.446,0.164,0.457,0.002,0.108
2013-01-01 13:00:00,0.125,0.671,0.276,0.478,0.301,0.206,0.284,0.313,0.116,0.0,0.357,0.0,0.028,0.127,0.308,0.346,0.122,0.325,0.003,0.087
2013-01-01 14:00:00,0.168,0.762,0.171,0.296,0.159,0.117,0.185,0.145,0.12,0.0,0.265,0.0,0.052,0.049,0.184,0.255,0.051,0.222,0.004,0.064
2013-01-01 15:00:00,0.21,0.792,0.088,0.148,0.053,0.03,0.082,0.035,0.134,0.001,0.149,0.0,0.074,0.013,0.074,0.134,0.008,0.109,0.004,0.049
2013-01-01 16:00:00,0.244,0.738,0.026,0.045,0.001,0.0,0.007,0.0,0.172,0.014,0.043,0.0,0.14,0.002,0.002,0.034,0.0,0.024,0.004,0.051
2013-01-01 17:00:00,0.351,0.623,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.081,0.0,0.0,0.248,0.024,0.0,0.0,0.006,0.0,0.005,0.058
2013-01-01 18:00:00,0.369,0.466,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.2,0.0,0.0,0.354,0.036,0.0,0.0,0.09,0.0,0.006,0.064
2013-01-01 19:00:00,0.339,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.252,0.0,0.0,0.393,0.008,0.0,0.0,0.154,0.0,0.009,0.066
2013-01-01 20:00:00,0.291,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.251,0.25,0.0,0.0,0.369,0.0,0.0,0.0,0.164,0.0,0.017,0.062
2013-01-01 21:00:00,0.247,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.198,0.0,0.0,0.33,0.001,0.0,0.0,0.182,0.0,0.047,0.078
2013-01-01 22:00:00,0.214,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.179,0.0,0.0,0.276,0.004,0.0,0.0,0.237,0.0,0.116,0.103
2013-01-01 23:00:00,0.178,0.341,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.183,0.0,0.0,0.166,0.013,0.0,0.0,0.294,0.0,0.232,0.123
2013-01-02 00:00:00,0.145,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.171,0.0,0.002,0.086,0.025,0.0,0.0,0.344,0.0,0.284,0.142
2013-01-02 01:00:00,0.149,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.149,0.0,0.002,0.078,0.04,0.0,0.0,0.375,0.0,0.141,0.137
2013-01-02 02:00:00,0.157,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.139,0.0,0.002,0.105,0.047,0.0,0.0,0.404,0.0,0.091,0.114
2013-01-02 03:00:00,0.145,0.246,0.004,0.0,0.002,0.007,0.017,0.018,0.103,0.12,0.0,0.002,0.106,0.045,0.0,0.0,0.382,0.011,0.096,0.078
2013-01-02 04:00:00,0.13,0.316,0.044,0.014,0.072,0.079,0.099,0.106,0.048,0.081,0.003,0.003,0.058,0.039,0.046,0.047,0.522,0.073,0.052,0.017
2013-01-02 05:00:00,0.081,0.317,0.219,0.092,0.209,0.181,0.283,0.257,0.028,0.065,0.065,0.009,0.052,0.135,0.163,0.168,0.578,0.277,0.028,0.006
2013-01-02 06:00:00,0.093,0.224,0.406,0.271,0.336,0.297,0.454,0.382,0.014,0.058,0.212,0.009,0.04,0.264,0.289,0.318,0.456,0.473,0.092,0.013
2013-01-02 07:00:00,0.062,0.165,0.554,0.426,0.416,0.408,0.596,0.485,0.013,0.023,0.381,0.004,0.034,0.355,0.391,0.446,0.326,0.619,0.129,0.012
2013-01-02 08:00:00,0.035,0.137,0.66,0.531,0.419,0.476,0.683,0.542,0.019,0.006,0.509,0.0,0.034,0.427,0.423,0.519,0.221,0.71,0.151,0.01
2013-01-02 09:00:00,0.02,0.126,0.717,0.554,0.399,0.493,0.717,0.545,0.023,0.0,0.587,0.0,0.046,0.479,0.402,0.532,0.174,0.753,0.174,0.009
2013-01-02 10:00:00,0.012,0.129,0.728,0.515,0.337,0.469,0.711,0.54,0.022,0.0,0.624,0.0,0.072,0.501,0.41,0.52,0.141,0.724,0.176,0.007
2013-01-02 11:00:00,0.01,0.136,0.683,0.399,0.299,0.397,0.648,0.499,0.015,0.0,0.599,0.0,0.111,0.482,0.323,0.446,0.117,0.668,0.16,0.004
2013-01-02 12:00:00,0.01,0.151,0.583,0.323,0.245,0.305,0.531,0.418,0.008,0.002,0.522,0.0,0.159,0.427,0.267,0.344,0.104,0.553,0.131,0.001
2013-01-02 13:00:00,0.012,0.172,0.413,0.266,0.165,0.195,0.366,0.297,0.005,0.006,0.415,0.0,0.207,0.348,0.196,0.273,0.119,0.439,0.095,0.0
2013-01-02 14:00:00,0.015,0.195,0.189,0.197,0.092,0.085,0.209,0.149,0.004,0.02,0.247,0.0,0.235,0.264,0.105,0.15,0.192,0.285,0.076,0.0
2013-01-02 15:00:00,0.026,0.214,0.068,0.122,0.026,0.016,0.085,0.037,0.005,0.044,0.128,0.001,0.219,0.197,0.031,0.072,0.249,0.132,0.073,0.001
2013-01-02 16:00:00,0.048,0.199,0.015,0.045,0.0,0.0,0.008,0.0,0.013,0.065,0.027,0.005,0.246,0.157,0.0,0.014,0.17,0.029,0.08,0.006
2013-01-02 17:00:00,0.096,0.144,0.0,0.001,0.0,0.0,0.0,0.0,0.035,0.079,0.0,0.024,0.268,0.183,0.0,0.0,0.059,0.0,0.08,0.02
2013-01-02 18:00:00,0.144,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.093,0.0,0.065,0.252,0.216,0.0,0.0,0.03,0.0,0.065,0.034
2013-01-02 19:00:00,0.166,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.116,0.0,0.099,0.22,0.276,0.0,0.0,0.058,0.0,0.032,0.052
2013-01-02 20:00:00,0.164,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.155,0.0,0.116,0.187,0.305,0.0,0.0,0.137,0.0,0.014,0.064
2013-01-02 21:00:00,0.142,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.178,0.0,0.162,0.166,0.28,0.0,0.0,0.241,0.0,0.018,0.068
2013-01-02 22:00:00,0.126,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.167,0.0,0.225,0.149,0.24,0.0,0.0,0.396,0.0,0.03,0.056
2013-01-02 23:00:00,0.107,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.14,0.0,0.266,0.148,0.232,0.0,0.0,0.552,0.0,0.041,0.045
2013-01-03 00:00:00,0.103,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.122,0.0,0.303,0.145,0.265,0.0,0.0,0.735,0.0,0.048,0.044
2013-01-03 01:00:00,0.097,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.132,0.0,0.34,0.118,0.312,0.0,0.0,0.684,0.0,0.044,0.044
2013-01-03 02:00:00,0.086,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.154,0.0,0.373,0.081,0.416,0.0,0.0,0.594,0.0,0.031,0.044
2013-01-03 03:00:00,0.071,0.072,0.003,0.0,0.001,0.0,0.017,0.014,0.151,0.165,0.0,0.352,0.044,0.486,0.0,0.0,0.521,0.01,0.018,0.053
2013-01-03 04:00:00,0.051,0.041,0.038,0.011,0.054,0.028,0.096,0.107,0.188,0.155,0.002,0.295,0.023,0.593,0.037,0.043,0.581,0.091,0.005,0.049
2013-01-03 05:00:00,0.015,0.056,0.214,0.078,0.139,0.081,0.282,0.24,0.178,0.097,0.081,0.214,0.027,0.81,0.143,0.162,0.812,0.247,0.004,0.072
2013-01-03 06:00:00,0.005,0.034,0.401,0.271,0.215,0.137,0.452,0.371,0.051,0.029,0.213,0.178,0.019,0.8150000000000001,0.274,0.333,0.839,0.439,0.014,0.066
2013-01-03 07:00:00,0.001,0.029,0.536,0.45,0.285,0.185,0.579,0.501,0.003,0.0,0.328,0.155,0.011,0.833,0.358,0.486,0.8300000000000001,0.5650000000000001,0.018,0.041
2013-01-03 08:00:00,0.0,0.033,0.62,0.583,0.339,0.226,0.655,0.56,0.0,0.0,0.413,0.13,0.004,0.885,0.433,0.583,0.8160000000000001,0.631,0.016,0.04
2013-01-03 09:00:00,0.0,0.043,0.6940000000000001,0.657,0.388,0.253,0.663,0.544,0.0,0.0,0.421,0.105,0.0,0.925,0.47,0.644,0.755,0.611,0.007,0.036
2013-01-03 10:00:00,0.0,0.048,0.735,0.6910000000000001,0.433,0.247,0.629,0.538,0.0,0.006,0.364,0.086,0.0,0.939,0.48,0.646,0.731,0.544,0.001,0.027
2013-01-03 11:00:00,0.0,0.045,0.716,0.645,0.421,0.232,0.55,0.507,0.01,0.021,0.337,0.071,0.0,0.936,0.469,0.609,0.797,0.588,0.0,0.03
2013-01-03 12:00:00,0.0,0.037,0.645,0.554,0.336,0.2,0.415,0.42,0.038,0.051,0.295,0.056,0.0,0.926,0.402,0.507,0.873,0.552,0.0,0.036
2013-01-03 13:00:00,0.0,0.034,0.527,0.427,0.218,0.147,0.301,0.291,0.079,0.097,0.205,0.049,0.0,0.913,0.317,0.385,0.892,0.438,0.0,0.042
2013-01-03 14:00:00,0.001,0.038,0.363,0.304,0.122,0.08,0.203,0.149,0.125,0.15,0.154,0.049,0.003,0.857,0.164,0.238,0.849,0.295,0.003,0.041
2013-01-03 15:00:00,0.006,0.061,0.163,0.179,0.044,0.018,0.086,0.039,0.165,0.204,0.073,0.052,0.012,0.687,0.059,0.109,0.8320000000000001,0.136,0.008,0.042
2013-01-03 16:00:00,0.019,0.151,0.025,0.065,0.001,0.0,0.008,0.0,0.172,0.269,0.015,0.06,0.048,0.502,0.001,0.026,0.812,0.024,0.013,0.059
2013-01-03 17:00:00,0.061,0.263,0.0,0.002,0.0,0.0,0.0,0.0,0.156,0.379,0.0,0.061,0.123,0.402,0.0,0.0,0.752,0.0,0.022,0.071
2013-01-03 18:00:00,0.103,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.449,0.0,0.055,0.225,0.189,0.0,0.0,0.7010000000000001,0.0,0.029,0.068
2013-01-03 19:00:00,0.142,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.422,0.0,0.05,0.305,0.059,0.0,0.0,0.631,0.0,0.03,0.061
2013-01-03 20:00:00,0.16,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.44,0.0,0.059,0.318,0.024,0.0,0.0,0.613,0.0,0.021,0.054
2013-01-03 21:00:00,0.185,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.511,0.0,0.071,0.304,0.014,0.0,0.0,0.6000000000000001,0.0,0.01,0.044
2013-01-03 22:00:00,0.237,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.56,0.0,0.08,0.258,0.007,0.0,0.0,0.535,0.0,0.01,0.032
2013-01-03 23:00:00,0.258,0.547,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.554,0.0,0.092,0.241,0.002,0.0,0.0,0.445,0.0,0.023,0.02
2013-01-04 00:00:00,0.201,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.557,0.0,0.096,0.208,0.0,0.0,0.0,0.359,0.0,0.06,0.015
2013-01-04 01:00:00,0.26,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.344,0.581,0.0,0.099,0.206,0.0,0.0,0.0,0.268,0.0,0.13,0.018
2013-01-04 02:00:00,0.467,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.601,0.0,0.111,0.195,0.0,0.0,0.0,0.19,0.0,0.169,0.019
2013-01-04 03:00:00,0.501,0.37,0.003,0.0,0.003,0.001,0.017,0.019,0.362,0.601,0.0,0.12,0.148,0.0,0.0,0.0,0.159,0.006,0.184,0.005
2013-01-04 04:00:00,0.435,0.451,0.031,0.01,0.074,0.035,0.107,0.114,0.316,0.542,0.0,0.106,0.067,0.0,0.023,0.037,0.201,0.055,0.178,0.0
2013-01-04 05:00:00,0.39,0.379,0.224,0.072,0.21,0.088,0.265,0.257,0.416,0.422,0.024,0.106,0.083,0.018,0.096,0.153,0.128,0.292,0.222,0.001
2013-01-04 06:00:00,0.325,0.256,0.431,0.275,0.377,0.137,0.41,0.375,0.433,0.372,0.084,0.123,0.066,0.034,0.182,0.333,0.054,0.503,0.339,0.013
2013-01-04 07:00:00,0.438,0.178,0.592,0.456,0.507,0.179,0.556,0.439,0.366,0.19,0.173,0.12,0.034,0.034,0.267,0.497,0.035,0.661,0.437,0.034
2013-01-04 08:00:00,0.614,0.14,0.7000000000000001,0.59,0.586,0.222,0.632,0.436,0.301,0.053,0.246,0.098,0.012,0.029,0.342,0.606,0.028,0.763,0.414,0.061
2013-01-04 09:00:00,0.653,0.12,0.758,0.674,0.585,0.266,0.667,0.405,0.246,0.006,0.294,0.075,0.002,0.023,0.411,0.67,0.023,0.8130000000000001,0.342,0.076
2013-01-04 10:00:00,0.625,0.129,0.769,0.709,0.56,0.274,0.64,0.373,0.209,0.0,0.271,0.059,0.0,0.016,0.43,0.6880000000000001,0.019,0.8140000000000001,0.291,0.071
2013-01-04 11:00:00,0.586,0.175,0.734,0.6910000000000001,0.441,0.264,0.59,0.305,0.193,0.0,0.241,0.042,0.0,0.011,0.39,0.662,0.019,0.769,0.275,0.064
2013-01-04 12:00:00,0.516,0.286,0.656,0.622,0.303,0.234,0.465,0.222,0.192,0.0,0.225,0.03,0.001,0.009,0.296,0.588,0.022,0.676,0.266,0.059
2013-01-04 13:00:00,0.426,0.422,0.532,0.509,0.198,0.175,0.352,0.125,0.19,0.0,0.195,0.027,0.006,0.009,0.178,0.465,0.029,0.534,0.247,0.064
2013-01-04 14:00:00,0.313,0.499,0.362,0.381,0.095,0.109,0.222,0.05,0.185,0.0,0.129,0.026,0.013,0.011,0.086,0.311,0.035,0.345,0.217,0.071
2013-01-04 15:00:00,0.251,0.521,0.162,0.2,0.023,0.027,0.086,0.011,0.198,0.001,0.07,0.04,0.037,0.022,0.023,0.135,0.052,0.129,0.216,0.073
2013-01-04 16:00:00,0.268,0.482,0.023,0.062,0.0,0.0,0.006,0.0,0.256,0.007,0.018,0.081,0.095,0.037,0.0,0.028,0.104,0.017,0.276,0.077
2013-01-04 17:00:00,0.407,0.399,0.0,0.001,0.0,0.0,0.0,0.0,0.411,0.053,0.0,0.167,0.178,0.031,0.0,0.0,0.286,0.0,0.329,0.093
2013-01-04 18:00:00,0.407,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.156,0.0,0.321,0.25,0.038,0.0,0.0,0.535,0.0,0.355,0.13
