,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
1,Koeberg,Nuclear,Steam Turbine,PP,ZA,1940.0,,,0.0,0.0,0.0,1984.0,1984.0,2034.0,-33.6746,18.4321,"{nan, nan}","{'GNPT': {'G500317', 'G500318'}, 'GEO': {'GEO-3880'}, 'GPD': {'WRI1000137'}}",1560
2,Nkula,Hydro,Reservoir,PP,MW,100.0,,,0.0,0.0,0.0,1966.0,1966.0,2066.0,-15.5269,34.8192,{nan},"{'GHPT': {'G602462'}, 'GEO': {'GEO-40388'}, 'GPD': {'WRI1023104'}}",312
3,Kapichira,Hydro,Reservoir,PP,MW,130.0,,,0.0,0.0,0.0,2000.0,2000.0,2100.0,-15.8954,34.7531,{nan},"{'GHPT': {'G602459'}, 'GEO': {'GEO-40390'}, 'GPD': {'WRI1023102'}}",341
4,Zongo,Hydro,Run-Of-River,PP,CD,225.0,,,0.0,0.0,0.0,1955.0,1955.0,2055.0,-4.7823,14.90445,"{nan, nan}","{'GHPT': {'G601505', 'G601504'}, 'GEO': {'GEO-42631'}, 'GPD': {'WRI1061236'}}",1518
5,Zilo,Hydro,Reservoir,PP,CD,108.0,,,0.0,0.0,0.0,1952.0,1952.0,2052.0,-10.4998,25.4631,{nan},"{'GHPT': {'G601501'}, 'GEO': {'GEO-42626'}, 'GPD': {'WRI1000007'}}",2493
6,Mwadingusha,Hydro,Reservoir,PP,CD,78.0,,,0.0,0.0,0.0,1928.0,1928.0,2028.0,-10.7452,27.2447,{nan},"{'GHPT': {'G601499'}, 'GEO': {'GEO-42629'}, 'GPD': {'WRI1000005'}}",283
7,Victoria Falls,Hydro,Run-Of-River,PP,ZM,108.0,,,0.0,0.0,0.0,1936.0,1936.0,2036.0,-17.9305,25.8598,{nan},"{'GHPT': {'G604096'}, 'GEO': {'GEO-40383'}, 'GPD': {'WRI1022380'}}",211
8,Kariba Dam,Hydro,Reservoir,PP,ZM,2130.0,,,0.0,0.0,0.0,1959.0,1959.0,2059.0,-16.5225,28.7621,{nan},"{'GHPT': {'G604149'}, 'GEO': {'GEO-3802'}, 'GPD': {'WRI1000021'}}",1466
9,Itezhi Tezhi,Hydro,Reservoir,PP,ZM,120.0,,,0.0,0.0,0.0,1977.0,1977.0,2077.0,-15.7601,26.0213,{nan},"{'GHPT': {'G604089'}, 'GEO': {'GEO-3698', 'GEO-45987'}, 'GPD': {'WRI1000020'}}",2388
10,Mtera,Hydro,Reservoir,PP,TZ,80.0,,,0.0,0.0,0.0,1980.0,1980.0,2080.0,-7.1386,35.9888,{nan},"{'GHPT': {'G603599'}, 'GEO': {'GEO-40354'}, 'GPD': {'WRI1019869'}}",163
11,Kihansi,Hydro,Run-Of-River,PP,TZ,180.0,,,0.0,0.0,0.0,1999.0,1999.0,2099.0,-8.5751,35.8512,{nan},"{'GHPT': {'G603597'}, 'GEO': {'GEO-40352'}, 'GPD': {'WRI1019868'}}",167
